"Var1","Var2","Var3","modularity","partition","time","algorithm","network"
"1","0","0","0.276803830857885","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,3,3,3,2,2,4,4,4,4","0.000732183456420898","louvain","moreno_zebra.graphml"
"0.99","0.01","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.00024104118347168","louvain","moreno_zebra.graphml"
"0.98","0.02","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000206947326660156","louvain","moreno_zebra.graphml"
"0.97","0.03","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000195980072021484","louvain","moreno_zebra.graphml"
"0.96","0.04","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000200986862182617","louvain","moreno_zebra.graphml"
"0.95","0.05","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000210046768188477","louvain","moreno_zebra.graphml"
"0.94","0.06","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.00020599365234375","louvain","moreno_zebra.graphml"
"0.93","0.07","0","0.2878124736975","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000200033187866211","louvain","moreno_zebra.graphml"
"0.92","0.08","0","0.281159522632583","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000224113464355469","louvain","moreno_zebra.graphml"
"0.91","0.09","0","0.273250520291363","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000212907791137695","louvain","moreno_zebra.graphml"
"0.9","0.1","0","0.212422994669476","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000233888626098633","louvain","moreno_zebra.graphml"
"0.89","0.11","0","0.212422994669476","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000222921371459961","louvain","moreno_zebra.graphml"
"0.88","0.12","0","0.1767875","1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,2,2,2,2,2,4,4,4,4","0.000221967697143555","louvain","moreno_zebra.graphml"
"0.87","0.13","0","0.164716553287982","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000320911407470703","louvain","moreno_zebra.graphml"
"0.86","0.14","0","0.164716553287982","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000250101089477539","louvain","moreno_zebra.graphml"
"0.85","0.15","0","0.174382716049383","1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,3,3,3,3","0.000365018844604492","louvain","moreno_zebra.graphml"
"0.84","0.16","0","0.174133333333333","1,2,2,2,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000235080718994141","louvain","moreno_zebra.graphml"
"0.83","0.17","0","0.169291115311909","1,2,2,2,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000238895416259766","louvain","moreno_zebra.graphml"
"0.82","0.18","0","0.169291115311909","1,2,2,2,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000349998474121094","louvain","moreno_zebra.graphml"
"0.81","0.19","0","0.179181696557097","1,2,2,1,1,1,1,1,2,1,2,2,3,1,1,3,3,3,3,3,3,3,3,4,4,4,4","0.000303983688354492","louvain","moreno_zebra.graphml"
"0.8","0.2","0","0.154501834953382","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.00025177001953125","louvain","moreno_zebra.graphml"
"0.79","0.21","0","0.154501834953382","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000252008438110352","louvain","moreno_zebra.graphml"
"0.78","0.22","0","0.158405663281009","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000260829925537109","louvain","moreno_zebra.graphml"
"0.77","0.23","0","0.136664066453028","1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,2,2,2,2,2,2,2,2,4,4,4,4","0.000312089920043945","louvain","moreno_zebra.graphml"
"0.76","0.24","0","0.139602344535223","1,2,2,1,1,2,2,1,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4","0.000311851501464844","louvain","moreno_zebra.graphml"
"0.75","0.25","0","0.136943859776455","1,2,2,1,1,3,3,1,2,3,2,2,4,2,3,4,4,4,4,4,4,4,4,5,5,5,5","0.000478982925415039","louvain","moreno_zebra.graphml"
"0.74","0.26","0","0.136943859776455","1,2,2,1,1,3,3,1,2,3,2,2,4,2,3,4,4,4,4,4,4,4,4,5,5,5,5","0.000416994094848633","louvain","moreno_zebra.graphml"
"0.73","0.27","0","0.136943859776455","1,2,2,1,1,3,3,1,2,3,2,2,4,2,3,4,4,4,4,4,4,4,4,5,5,5,5","0.000403881072998047","louvain","moreno_zebra.graphml"
"0.72","0.28","0","0.146901911363159","1,2,2,1,1,1,1,1,2,1,2,2,3,2,1,3,3,3,3,3,3,3,3,4,4,4,4","0.000427007675170898","louvain","moreno_zebra.graphml"
